,28xeuclidean,28xcosine,id
11,"[0.37188217 0.56620792 0.60966501 0.33350056 0.37945585 0.31097835
 0.11301942 0.93809009 0.98154718 0.70538273 0.75133802 0.68286052
 0.48490159 0.04345709 0.23270735 0.18675207 0.25522956 0.45318849
 0.27616444 0.23020916 0.29868665 0.49664558 0.04595529 0.02252221
 0.22048114 0.0684775  0.26643643 0.19795893]","[ 1. -1. -1. -1. -1. -1.  1. -1. -1. -1. -1. -1.  1.  1.  1.  1.  1. -1.
  1.  1.  1. -1.  1.  1. -1.  1. -1. -1.]",41wqsfkx
12,"[0.17836107 0.03319776 0.15576345 0.20782611 0.04030442 0.22720295
 0.26736437 0.21155883 0.33412452 0.38618718 0.13805665 0.40556403
 0.08900329 0.12256569 0.17462835 0.07350218 0.19400519 0.30056213
 0.05206266 0.19606787 0.0714395  0.42312781 0.24813053 0.01937684
 0.47519047 0.26750737 0.22705994 0.49456732]","[ 1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1. -1.
  1.  1.  1. -1.  1.  1. -1.  1. -1. -1.]",48xdti2f
13,"[2.46552922e-01 6.79125689e-01 1.52582571e-01 4.60134916e-01
 4.50490795e-01 2.46679716e-01 3.14128973e-01 4.32572767e-01
 9.39703509e-02 2.13581994e-01 2.03937873e-01 1.26793981e-04
 6.75760508e-02 5.26543118e-01 2.18990773e-01 2.28634894e-01
 4.32445973e-01 3.64996716e-01 3.07552345e-01 2.97908224e-01
 9.40971449e-02 1.61546402e-01 9.64412093e-03 2.13455200e-01
 1.46005943e-01 2.03811079e-01 1.36361822e-01 6.74492568e-02]","[-1. -1. -1. -1. -1. -1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",4mouw0mq
14,"[0.17291103 0.09586938 0.24381349 0.11446086 0.34661537 0.10937419
 0.13748582 0.07704164 0.41672452 0.28737188 0.17370434 0.06353684
 0.0354252  0.33968288 0.21033024 0.25074598 0.0135048  0.04161644
 0.12935264 0.59042886 0.35318768 0.38129932 0.46107622 0.22383504
 0.25194668 0.23724118 0.20912954 0.02811164]","[ 1.  1. -1. -1.  1.  1.  1.  1. -1. -1.  1.  1.  1. -1. -1.  1.  1.  1.
  1. -1. -1. -1. -1. -1. -1.  1.  1.  1.]",54vylc3h
15,"[0.2033814  0.61997915 0.38768532 0.18582601 0.4336198  0.32461337
 1.1141163  0.41659775 0.59106672 0.01755539 0.23023841 0.52799477
 1.3174977  1.00766447 0.43415314 0.18635935 0.94459252 1.73409545
 0.57351133 0.82130513 0.06307195 0.72643098 0.24779379 0.51043938
 1.29994231 0.75823317 1.54773611 0.78950293]","[ 1.  1. -1.  1.  1. -1. -1.  1. -1.  1.  1. -1. -1. -1.  1.  1. -1. -1.
 -1. -1.  1.  1.  1. -1. -1. -1. -1.  1.]",58ysvi8n
16,"[0.41863929 0.3584588  0.01226941 0.28934042 0.54209493 0.0290799
 0.05703184 0.06018049 0.43090869 0.12929887 0.12345564 0.38955939
 0.47567113 0.37072821 0.06911838 0.18363613 0.3293789  0.41549064
 0.30160983 0.55436434 0.04134931 0.04476243 0.25275451 0.26026052
 0.34637226 0.51301503 0.59912677 0.08611174]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1.]",5h8yu58t
17,"[0.7275275  0.44217354 0.07759935 0.15870139 0.41716015 0.07261544
 0.92937857 1.16970104 0.64992815 0.56882611 0.31036735 0.80014294
 0.20185107 0.51977289 0.60087493 0.85933369 0.3695581  1.37155211
 0.08110204 0.3395608  0.15021479 0.85177922 0.25845876 0.23131683
 0.77067718 0.48977559 0.51221842 1.00199401]","[-1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1.  1.  1.  1.  1.  1. -1.
  1.  1.  1. -1.  1.  1. -1.  1. -1. -1.]",61zty2sn
18,"[0.07438801 0.24171431 0.01906109 0.03089155 0.04137909 0.09255786
 0.00794151 0.1673263  0.05532692 0.04349646 0.03300892 0.01816985
 0.08232953 0.22265323 0.21082276 0.20033522 0.14915645 0.24965583
 0.01183046 0.02231801 0.07349677 0.0270026  0.01048754 0.06166631
 0.03883307 0.05117877 0.04932061 0.10049938]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1.]",66waiorf
19,"[0.04799521 0.4239035  0.08495802 0.18467463 0.34251073 0.14275959
 0.43069996 0.37590829 0.13295323 0.23266984 0.29451552 0.1907548
 0.47869517 0.50886151 0.60857813 0.08139277 0.56666308 0.85460345
 0.09971661 0.42746875 0.05780157 0.34574194 0.52718536 0.04191504
 0.24602533 0.48527032 0.77321069 0.28794037]","[ 1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1. -1.
  1.  1.  1. -1.  1.  1. -1.  1. -1. -1.]",6hc1izd5
20,"[0.17045715 0.31110504 0.23303261 0.01729926 0.10522661 0.53656879
 0.24782375 0.14064789 0.40348977 0.15315789 0.06523055 0.36611164
 0.07736659 0.54413766 0.29380578 0.20587844 0.22546375 0.0632813
 0.25033188 0.33825922 0.7696014  0.48085636 0.08792734 0.51926953
 0.23052448 0.43134218 0.14259714 0.28874505]","[ 1.  1. -1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1. -1.  1.  1.  1.  1.
 -1. -1. -1. -1.  1.  1.  1.  1.  1.  1.]",751xgntu
21,"[0.13249971 0.34283202 0.15658181 0.06900106 0.28855981 0.37080996
 0.03057707 0.2103323  0.28908152 0.06349865 0.1560601  0.23831025
 0.10192265 0.49941383 0.27383096 0.0542722  0.02797794 0.31225495
 0.22558287 0.44514162 0.52739177 0.18715888 0.21955875 0.3018089
 0.03842399 0.08225015 0.25798275 0.34023289]","[ 1.  1. -1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1. -1.  1.  1.  1.  1.
 -1. -1. -1. -1.  1.  1.  1.  1.  1.  1.]",8a1uneuz
22,"[0.         0.21439454 0.21439454 0.17452109 0.17452109 0.04739329
 0.04739329 0.21439454 0.21439454 0.17452109 0.17452109 0.04739329
 0.04739329 0.         0.03987345 0.03987345 0.16700125 0.16700125
 0.03987345 0.03987345 0.16700125 0.16700125 0.         0.1271278
 0.1271278  0.1271278  0.1271278  0.        ]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1.]",8kfkpopv
23,"[0.         0.09546536 0.09546536 0.17320779 0.17320779 0.30282548
 0.30282548 0.09546536 0.09546536 0.17320779 0.17320779 0.30282548
 0.30282548 0.         0.07774243 0.07774243 0.39829085 0.39829085
 0.07774243 0.07774243 0.39829085 0.39829085 0.         0.47603327
 0.47603327 0.47603327 0.47603327 0.        ]","[ 1.  1.  1.  1.  1. -1. -1.  1.  1.  1.  1. -1. -1.  1.  1.  1. -1. -1.
  1.  1. -1. -1.  1. -1. -1. -1. -1.  1.]",8kfkpopv
