,28xeuclidean,28xcosine,id
10,"[1.38632746 1.30023651 1.40118777 1.19770163 1.30605871 1.40453685
 1.37030535 1.38392345 1.33724969 1.36747846 1.27084316 1.38462086
 1.36243939 1.36376724 1.30655661 1.24590858 1.34956552 1.36649576
 1.37791279 1.36628491 1.3649372  1.3740155  1.31204287 1.37213017
 1.34032634 1.35280836 1.36887496 1.36760134]","[0.03904808 0.15469251 0.01833641 0.2827554  0.14710533 0.01363812
 0.06113162 0.04237794 0.10588164 0.06500133 0.19247883 0.04141254
 0.07187946 0.07006946 0.14645491 0.2238559  0.08933645 0.06634467
 0.05067817 0.06663277 0.06847322 0.0560407  0.13927176 0.0586294
 0.10176265 0.08495478 0.06309067 0.06483329]",3d16rucc
11,"[1.41421356 1.28339737 1.38118591 1.41421356 1.41421356 1.34243324
 1.41421356 1.41421356 1.36658071 1.41421356 1.41421356 1.41421356
 1.41421356 1.34260354 1.41421356 1.37454364 1.36343885 1.41421356
 1.36076071 1.34405566 1.39465015 1.38136384 1.41421356 1.41421356
 1.41421356 1.38116549 1.41421356 1.41421356]","[0.         0.17644559 0.04616274 0.         0.         0.0989365
 0.         0.         0.06622858 0.         0.         0.
 0.         0.09870786 0.         0.0553149  0.07051726 0.
 0.07416515 0.09675719 0.02747548 0.04591698 0.         0.
 0.         0.04619094 0.         0.        ]",41wqsfkx
12,"[1.24443281 1.35447932 1.35984176 1.33437807 1.33125109 1.37551461
 1.3369172  1.307674   1.23478475 1.30747124 1.26141208 1.29433038
 1.26111382 1.35179832 1.3250613  1.32280292 1.33181327 1.29299696
 1.3552157  1.34020556 1.36745741 1.31472021 1.28581623 1.28974555
 1.31483038 1.35456195 1.32603092 1.30782245]","[0.22569349 0.08269289 0.07541519 0.10971759 0.11388527 0.05397978
 0.1063262  0.14499435 0.23765331 0.14525947 0.20441978 0.16235443
 0.20479596 0.08632065 0.12210627 0.12509622 0.11313671 0.16407943
 0.0816952  0.10192453 0.06503012 0.13575538 0.17333831 0.16827821
 0.13561054 0.08258097 0.120821   0.14480021]",48xdti2f
13,"[1.34707568 1.29946193 1.31971765 1.35918906 1.30106211 1.34694516
 1.34415435 1.30894125 1.30197604 1.28288596 1.27542002 1.31274469
 1.29905249 1.29806675 1.28633834 1.17010604 1.28839659 1.29969144
 1.37372703 1.27968931 1.26253585 1.18874742 1.23654492 1.28259305
 1.28359598 1.28124296 1.22966474 1.33578638]","[0.09269356 0.15569935 0.12917266 0.07630255 0.1536187  0.09286937
 0.09662454 0.14333641 0.1524292  0.1771018  0.18665189 0.1383507
 0.15623131 0.15751135 0.17266684 0.31542593 0.17001712 0.15540108
 0.05643703 0.18119764 0.20300161 0.29343979 0.23547833 0.17747753
 0.17619067 0.17920824 0.24396231 0.10783738]",4mouw0mq
14,"[1.22374801 1.2618563  1.32752505 1.37948442 1.2130889  1.32252396
 1.2894994  1.19783605 1.27104499 1.35304937 1.18476917 1.26324363
 1.31120643 1.33184732 1.36346329 1.20240169 1.25764988 1.33056948
 1.33470894 1.30305799 1.28157243 1.35387059 1.37576146 1.33073153
 1.36465836 1.2906583  1.2942741  1.3455306 ]","[0.2512204  0.20385934 0.11883862 0.04851137 0.26420765 0.12546518
 0.16859565 0.28259439 0.19222232 0.0846287  0.298161   0.20210776
 0.14036885 0.11309136 0.07048392 0.27711508 0.20915839 0.11479244
 0.10927602 0.15101994 0.17878606 0.08351722 0.05364021 0.1145768
 0.06885377 0.16710058 0.16242728 0.0947737 ]",54vylc3h
15,"[1.40359467 1.39138593 1.25149818 1.30621735 1.40124843 1.35888697
 1.39813824 1.36616499 1.35387528 1.40075093 1.3731783  1.35672023
 1.3011015  1.37890326 1.3852384  1.35536901 1.41421356 1.3409521
 1.36196193 1.36195361 1.07186121 1.34918965 1.31061609 1.37220848
 1.36096164 1.37220183 1.31781681 1.36198983]","[0.014961   0.03202259 0.21687616 0.14689812 0.01825142 0.07671311
 0.02260473 0.06679661 0.08351086 0.01894842 0.05719068 0.07965511
 0.15356744 0.0493129  0.04055729 0.08148742 0.         0.10092373
 0.07252985 0.07254118 0.42555677 0.08984364 0.14114273 0.05852194
 0.0738917  0.05853107 0.13167943 0.07249186]",58ysvi8n
16,"[1.35111039 1.33188189 1.34873238 1.32472975 1.2992245  1.30907389
 1.29974414 1.3398331  1.37310068 1.37164129 1.28977287 1.34685616
 1.2953001  1.26699008 1.34616175 1.30897982 1.29842129 1.26566341
 1.32303968 1.30345772 1.35858644 1.30632439 1.32378845 1.33452192
 1.33761514 1.29567653 1.11519294 1.30014407]","[0.08725036 0.11304532 0.09046048 0.12254554 0.15600785 0.14316277
 0.15533258 0.10242363 0.05729726 0.05930008 0.16824297 0.09298924
 0.16109883 0.19736807 0.09392428 0.14328591 0.15705108 0.19904807
 0.12478301 0.15049898 0.07712144 0.1467583  0.12379206 0.10952563
 0.10539287 0.16061116 0.37817235 0.15481269]",5h8yu58t
17,"[1.37743855 1.35189133 1.37322408 1.3590657  1.36483353 1.32492936
 1.23398096 1.37748169 1.38997709 1.38722729 1.40184872 1.32719158
 1.38329019 1.35935114 1.38396849 1.37490366 1.3598518  1.41421356
 1.39424121 1.41421356 1.30867541 1.41421356 1.35799866 1.36206856
 1.26997145 1.34975148 1.3521611  1.3839026 ]","[0.05133151 0.08619491 0.05712781 0.07647021 0.06861472 0.12228109
 0.23864549 0.05127209 0.03398185 0.03780022 0.01741009 0.11928126
 0.04325413 0.07608224 0.04231561 0.05481997 0.07540154 0.
 0.02804572 0.         0.14368434 0.         0.07791982 0.07238462
 0.19358625 0.08908547 0.08583018 0.0424068 ]",61zty2sn
18,"[1.28829621 1.25898314 1.31403491 1.28062591 1.28711229 1.26617322
 1.24209334 1.3533763  1.31534612 1.3530208  1.24345594 1.2920589
 1.30841202 1.35277764 1.31911202 1.21866041 1.28413277 1.35758354
 1.29266631 1.25786786 1.35296497 1.30925479 1.32419942 1.28828707
 1.26531496 1.27455092 1.32404184 1.2011283 ]","[0.17014644 0.20748072 0.13665612 0.17999864 0.17167097 0.19840269
 0.22860206 0.08418629 0.1349323  0.08466736 0.22690866 0.1652919
 0.144029   0.08499632 0.12997174 0.2574334  0.17550152 0.07848346
 0.1645069  0.20888422 0.0847429  0.14292595 0.12324795 0.17015821
 0.19948903 0.18775998 0.1234566  0.2786454 ]",66waiorf
19,"[1.3494205  1.33804264 1.33324354 1.33418453 1.39082879 1.38141554
 1.09725723 1.25582147 1.32895918 1.36564382 1.17005264 1.32698817
 1.3405287  1.35676466 1.3249647  1.22408545 1.24679694 1.22710457
 1.33449666 1.32536905 1.37837684 1.37714051 1.38457308 1.35902682
 1.2812724  1.28789351 1.37039003 1.35174616]","[0.08953215 0.10482095 0.11123083 0.10997582 0.03279764 0.04584555
 0.39801328 0.21145621 0.11693375 0.06750848 0.31548841 0.1195512
 0.10149141 0.07959483 0.12223427 0.2508074  0.22274869 0.24710719
 0.10955933 0.12169844 0.05003865 0.051742   0.04147869 0.07652305
 0.17917052 0.17066516 0.06101558 0.08639117]",6hc1izd5
